# Pathway	JH144_Abundance-CPM
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_faecis	13.4248
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	11.8941
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_ramulus	11.3414
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans	10.4689
PWY-7238: sucrose biosynthesis II|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	9.85708
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_sp_CAG_180	9.11512
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_intestinalis	7.74566
PWY-7238: sucrose biosynthesis II|g__Lachnospira.s__Lachnospira_pectinoschiza	7.68817
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_lactaris	7.54015
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	6.24031
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	6.23247
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	6.08931
PWY-7238: sucrose biosynthesis II|g__Lactobacillus.s__Lactobacillus_rogosae	4.94094
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_catus	4.38649
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_hominis	4.20986
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_comes	3.55722
PWY-7238: sucrose biosynthesis II|g__Holdemanella.s__Holdemanella_biformis	3.42769
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_CAG_167	2.9736
PWY-7238: sucrose biosynthesis II|g__Collinsella.s__Collinsella_aerofaciens	2.72956
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_formicigenerans	2.72893
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	2.51658
PWY-7238: sucrose biosynthesis II|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	2.44622
PWY-7238: sucrose biosynthesis II|g__Oxalobacter.s__Oxalobacter_formigenes	1.61071
PWY-7238: sucrose biosynthesis II|g__Clostridium.s__Clostridium_sp_CAG_58	1.60039
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	1.44092
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	1.20763
PWY-7238: sucrose biosynthesis II|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0.86554
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_ventriosum	0.809891
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_sp_CAG_309	0.782835
PWY-7238: sucrose biosynthesis II|g__Flavonifractor.s__Flavonifractor_plautii	0.647502
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_citroniae	0.212844
PWY-7238: sucrose biosynthesis II|g__Parabacteroides.s__Parabacteroides_merdae	0.162278
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_bolteae	0.142446
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_hydrogenotrophica	0.105448
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_asparagiforme	0.0902832
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_sp_CAG_38	0.0859964
PWY-7238: sucrose biosynthesis II|g__Eisenbergiella.s__Eisenbergiella_tayi	0.0763284
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	687.041
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	236.171
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	55.0946
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bromii	36.6257
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	35.9773
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.8004
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Gemmiger.s__Gemmiger_formicilis	28.2439
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	23.2434
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	15.9871
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	15.2468
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	10.1663
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_faecis	10.0149
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_sp_CAG_180	9.70192
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_inulinivorans	8.45342
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_ramulus	8.12803
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospira.s__Lachnospira_pectinoschiza	7.94548
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_intestinalis	7.71915
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_uniformis	6.81816
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_lactaris	6.56231
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_hominis	6.41722
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.49222
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_eligens	5.38562
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dorea.s__Dorea_longicatena	4.80767
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_dorei	4.31614
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_comes	4.17983
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lactobacillus.s__Lactobacillus_rogosae	3.95999
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Holdemanella.s__Holdemanella_biformis	3.92967
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_catus	3.78424
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dorea.s__Dorea_formicigenerans	3.43303
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	3.14103
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_vulgatus	2.32835
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Clostridium.s__Clostridium_sp_CAG_167	2.27109
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Clostridium.s__Clostridium_sp_CAG_58	2.11291
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Collinsella.s__Collinsella_aerofaciens	2.00046
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_cellulosilyticus	1.74488
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	1.66758
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	1.34366
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Agathobaculum.s__Agathobaculum_butyriciproducens	1.27191
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_sp_CAG_309	1.07528
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Prevotella.s__Prevotella_sp_CAG_1031	0.971403
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	0.90423
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0.85431
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_stercoris	0.725054
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Odoribacter.s__Odoribacter_splanchnicus	0.529885
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_faecis_CAG_32	0.485415
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Flavonifractor.s__Flavonifractor_plautii	0.431587
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_xylanisolvens	0.420736
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_faecis	0.41724
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_ventriosum	0.415296
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_hydrogenotrophica	0.262223
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_fragilis	0.232766
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eisenbergiella.s__Eisenbergiella_tayi	0.148002
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_sp_CAG_38	0.139306
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_bolteae	0.131321
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_citroniae	0.0501142
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_salyersiae	0.0362654
PWY-1042: glycolysis IV	607.863
PWY-1042: glycolysis IV|unclassified	150.317
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_obeum	45.3612
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	41.3053
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bromii	39.2229
PWY-1042: glycolysis IV|g__Gemmiger.s__Gemmiger_formicilis	31.1408
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	30.8159
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_hallii	17.5627
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	14.8746
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	13.761
PWY-1042: glycolysis IV|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	13.1434
PWY-1042: glycolysis IV|g__Akkermansia.s__Akkermansia_muciniphila	11.9893
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_uniformis	9.96897
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_dorei	8.51197
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_inulinivorans	7.98595
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_ramulus	7.26186
PWY-1042: glycolysis IV|g__Lachnospira.s__Lachnospira_pectinoschiza	7.19913
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_lactaris	7.17946
PWY-1042: glycolysis IV|g__Lactobacillus.s__Lactobacillus_rogosae	6.27522
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	5.92267
PWY-1042: glycolysis IV|g__Holdemanella.s__Holdemanella_biformis	5.55275
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	5.44695
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_intestinalis	5.34038
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	5.25783
PWY-1042: glycolysis IV|g__Coprococcus.s__Coprococcus_comes	4.99314
PWY-1042: glycolysis IV|g__Coprococcus.s__Coprococcus_catus	4.28331
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_formicigenerans	4.0548
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	2.95721
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_cellulosilyticus	2.48127
PWY-1042: glycolysis IV|g__Parabacteroides.s__Parabacteroides_distasonis	2.41723
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_thermophilus	2.33294
PWY-1042: glycolysis IV|g__Collinsella.s__Collinsella_aerofaciens	2.22999
PWY-1042: glycolysis IV|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_95	2.14317
PWY-1042: glycolysis IV|g__Clostridium.s__Clostridium_sp_CAG_58	2.08239
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_faecis	1.79034
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_stercoris	1.72094
PWY-1042: glycolysis IV|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans	1.58895
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_thetaiotaomicron	1.52015
PWY-1042: glycolysis IV|g__Oxalobacter.s__Oxalobacter_formigenes	1.40545
PWY-1042: glycolysis IV|g__Gordonibacter.s__Gordonibacter_pamelaeae	1.32457
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_putredinis	1.21972
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_xylanisolvens	1.21183
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_faecis_CAG_32	1.07659
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_sp_CAG_309	1.062
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_fragilis	1.05884
PWY-1042: glycolysis IV|g__Prevotella.s__Prevotella_sp_CAG_1031	0.957954
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_ventriosum	0.834535
PWY-1042: glycolysis IV|g__Parabacteroides.s__Parabacteroides_merdae	0.576977
PWY-1042: glycolysis IV|g__Odoribacter.s__Odoribacter_splanchnicus	0.550098
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_shahii	0.449579
PWY-1042: glycolysis IV|g__Barnesiella.s__Barnesiella_intestinihominis	0.443291
PWY-1042: glycolysis IV|g__Alistipes.s__Alistipes_finegoldii	0.38291
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_citroniae	0.358617
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_bolteae	0.352523
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_salyersiae	0.347208
PWY-1042: glycolysis IV|g__Lactococcus.s__Lactococcus_lactis	0.28265
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_hydrogenotrophica	0.139048
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	522.36
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	126.035
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_obeum	52.5877
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcus.s__Ruminococcus_bromii	39.9433
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	32.6976
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_wexlerae	28.5195
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Gemmiger.s__Gemmiger_formicilis	19.9701
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium	14.2631
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_torques	13.5018
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_hallii	12.1174
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_sp_CAG_180	9.73706
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	9.64954
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_inulinivorans	9.21496
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Anaerostipes.s__Anaerostipes_hadrus	8.91152
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_uniformis	7.93918
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Akkermansia.s__Akkermansia_muciniphila	7.82582
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcus.s__Ruminococcus_lactaris	7.32263
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospira.s__Lachnospira_pectinoschiza	6.5439
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_faecis	6.11919
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_dorei	5.74958
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_intestinalis	4.97132
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lactobacillus.s__Lactobacillus_rogosae	4.90471
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_eligens	4.87031
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Holdemanella.s__Holdemanella_biformis	4.79561
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_ramulus	4.72886
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.71393
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Coprococcus.s__Coprococcus_comes	4.57938
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_longicatena	4.57161
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Streptococcus.s__Streptococcus_thermophilus	3.77867
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_hominis	3.52062
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_vulgatus	3.40844
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Coprococcus.s__Coprococcus_catus	3.16623
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_sp_CAG_167	2.72548
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Dorea.s__Dorea_formicigenerans	2.3293
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Collinsella.s__Collinsella_aerofaciens	2.0476
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_cellulosilyticus	1.9975
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Oxalobacter.s__Oxalobacter_formigenes	1.76881
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	1.60993
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Clostridium.s__Clostridium_sp_CAG_58	1.53898
